ID,age,isfemale,isforeign
0,41.628420340919625,0,0
1,27.261338134264122,1,0
2,43.787776977044686,1,0
3,35.86130518840069,0,0
4,38.44951666989352,0,0
5,36.25485789927673,0,0
6,50.11076810156645,0,1
7,39.42713333748565,1,1
8,42.01041087009642,1,0
9,45.48598408982932,1,0
10,39.68405703469901,0,0
11,29.331973675114448,1,1
12,43.47457096335339,1,0
13,32.0655738369488,0,0
14,49.12267865263536,0,0
15,49.10546975983876,0,0
16,32.284755142461556,0,0
17,33.2356605689204,0,0
18,39.71767003485583,0,0
19,60.28546660891637,0,0
20,39.455416657299175,1,1
21,49.65096223672416,0,0
22,21.162244168705797,0,0
23,30.876804860594056,0,1
24,47.30247290523331,0,0
25,58.133405586950204,1,0
26,58.67671594187318,0,0
27,43.877786678527414,0,1
28,60.43980557849186,0,0
29,64.58512923532268,0,0
30,43.898546078840035,1,0
31,52.4979862999094,0,0
32,26.719912791157643,0,1
33,55.43499859715569,1,1
34,48.86989610203815,1,1
35,52.13601431515538,1,0
36,44.99525295342837,0,0
37,50.60908122896441,0,1
38,49.98729420451253,1,1
39,35.73460538548395,0,0
40,47.067182082872286,0,0
41,49.16088159435763,0,0
42,36.94765037614579,0,1
43,52.435985296690866,1,1
44,64.57287018523587,0,0
45,57.083997435959226,1,0
46,35.76792684241582,0,0
47,45.42961795443355,0,0
48,39.74519769870903,0,0
49,41.09282356355263,0,0
50,40.710543187361,1,0
51,56.04599844079969,1,0
52,35.55412107882219,1,0
53,32.89021426102153,1,1
54,41.87445454623225,0,1
55,58.88583379309251,1,1
56,59.669987162503496,0,0
57,50.26902156774753,0,0
58,36.42368659984995,0,0
59,49.272120361994,0,0
60,50.31791672214052,0,1
61,58.40945345829641,0,0
62,58.890116829827946,1,0
63,59.58480098022602,0,0
64,48.9256463348873,0,1
65,50.01084018960017,0,0
66,51.75430699794786,0,0
67,60.38020555297757,1,0
68,46.90704810036519,0,1
69,37.71058356779219,1,0
70,53.12068148793543,1,0
71,28.72391100464629,0,1
72,45.30773472389851,0,0
73,33.80560628726325,1,0
74,56.35444628651999,1,0
75,49.78800027437503,1,0
76,54.265341623500575,1,0
77,46.12389067985665,0,1
78,41.52132791145194,0,0
79,50.604787264880365,0,0
80,46.8051940855587,1,0
81,42.27501960345957,1,1
82,49.279581090740514,0,0
